City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Punta Arenas,-53.15,-70.9167,42.91,93,100,10.36,CL,light rain
1,Rikitea,-23.1203,-134.9692,71.2,73,99,21.54,PF,overcast clouds
2,Geraldton,-28.7667,114.6,57.61,88,100,18.41,AU,overcast clouds
3,Sept-Iles,50.2001,-66.3821,60.8,66,20,12.66,CA,few clouds
4,Upernavik,72.7868,-56.1549,45.57,95,100,28.86,GL,light rain
5,Yendi,9.4427,-0.0099,73.29,94,100,1.23,GH,overcast clouds
6,Pisco,-13.7,-76.2167,66.02,77,40,11.5,PE,haze
7,Clyde River,70.4692,-68.5914,44.83,76,20,4.61,CA,few clouds
8,Klaksvik,62.2266,-6.589,56.32,96,38,19.3,FO,scattered clouds
9,Esperance,-33.8667,121.9,53.87,79,100,20.51,AU,overcast clouds
10,Codrington,-38.2667,141.9667,47.48,86,34,8.55,AU,scattered clouds
11,New Norfolk,-42.7826,147.0587,44.92,70,53,2.84,AU,broken clouds
12,Hasaki,35.7333,140.8333,72.28,90,77,11.79,JP,broken clouds
13,Provideniya,64.3833,-173.3,42.66,76,35,6.69,RU,scattered clouds
14,Puerto Ayora,-0.7393,-90.3518,76.96,86,89,8.99,EC,overcast clouds
15,Jinji,23.2281,110.8261,74.19,69,99,1.61,CN,overcast clouds
16,Russkaya Polyana,49.417,31.9201,59.07,39,100,8.08,UA,overcast clouds
17,Torbay,47.6666,-52.7314,79.29,77,75,13.8,CA,broken clouds
18,Mataura,-46.1927,168.8643,44.64,99,100,3.38,NZ,overcast clouds
19,Butaritari,3.0707,172.7902,81.07,79,80,16.13,KI,light rain
20,Mangrol,21.1167,70.1167,80.96,85,8,8.61,IN,clear sky
21,Atuona,-9.8,-139.0333,76.75,75,65,22.37,PF,broken clouds
22,Arraial Do Cabo,-22.9661,-42.0278,80.56,50,0,20.71,BR,clear sky
23,Xining,36.6167,101.7667,48.38,94,100,3.2,CN,overcast clouds
24,Mahebourg,-20.4081,57.7,68.29,73,20,5.75,MU,few clouds
25,North Bend,43.4065,-124.2243,61.16,94,100,8.05,US,overcast clouds
26,Yellowknife,62.456,-114.3525,61.32,72,75,12.66,CA,broken clouds
27,Nelson Bay,-32.7167,152.15,59.0,82,100,15.99,AU,moderate rain
28,Zemio,5.0314,25.1361,67.8,98,95,5.46,CF,overcast clouds
29,Ust-Maya,60.4167,134.5333,40.6,96,100,6.08,RU,overcast clouds
30,Bredasdorp,-34.5322,20.0403,56.28,64,5,13.11,ZA,clear sky
31,Namibe,-15.1961,12.1522,61.43,94,100,13.8,AO,overcast clouds
32,Sovetskiy,61.3614,63.5842,55.81,98,100,5.57,RU,light rain
33,Victor Harbor,-35.5667,138.6167,48.0,87,32,6.51,AU,scattered clouds
34,Nikolskoye,59.7035,30.7861,47.88,86,100,4.97,RU,overcast clouds
35,Kapaa,22.0752,-159.319,82.09,72,20,11.5,US,few clouds
36,Albany,42.6001,-73.9662,78.62,43,0,3.0,US,clear sky
37,Nkowakowa,-23.8878,30.2871,61.74,35,0,3.0,ZA,clear sky
38,Redcliffe,-27.2307,153.0973,59.9,93,75,9.22,AU,moderate rain
